Input-File,Number-of-Cutsets,Value-Cutsets,Number-of-Sequences
EQK-BIN3_et_Grp-5,5718,1.5413E-07,3
EQK-BIN1_et_Grp-3,9752,2.9087E-10,8
EQK-BIN4_et_Grp-5,6140,3.9971E-07,3
EQK-BIN6_et_Grp-1,13,8.3124E-08,30
LSSB_et_Grp-2,129653,1.8564E-07,4
LODCA_et_Grp-1,156714,4.2490E-08,29
EQK-BIN7_et_Grp-1,2,9.6227E-09,1
TOR-BIN1_et_Grp-1,59469,1.6178E-12,30
MLOCA_et_Grp-1,67620,9.3328E-06,5
EQK-BIN2_et_Grp-6,74358,5.7516E-08,8
FRI-SWS-BLD_et_Grp-1,71923,9.3313E-08,29
FLI-SWS-ROOMA_et_Grp-1,182124,1.4025E-08,29
FRI-AB-SIS_et_Grp-1,659428,5.4157E-08,29
EQK-BIN4_et_Grp-6,144971,1.3783E-06,8
ISL-RHR-CL_et_Grp-1,217,3.0631E-11,2
LOMFW_et_Grp-1,1550153,7.5018E-08,18
FLI-RHR-ROOM_et_Grp-1,36008,1.0713E-10,29
HCN-BIN3_et_Grp-2,251633,8.3138E-10,33
EQK-BIN5_et_Grp-2,37045,1.5442E-09,8
EQK-BIN4_et_Grp-3,6941,2.6105E-09,3
EQK-BIN5_et_Grp-3,2761,1.8087E-10,3
EQK-BIN2_et_Grp-1,233960,3.8226E-08,30
EQK-BIN6_et_Grp-2,5401,1.2937E-07,3
EQK-BIN2_et_Grp-4,64427,1.6709E-08,8
LOOPSC_et_Grp-1,1253736,7.2864E-07,33
EQK-BIN2_et_Grp-3,7805,1.4739E-09,3
EQK-BIN1_et_Grp-5,1524,5.7260E-12,3
HCN-BIN1_et_Grp-2,231045,3.5540E-10,33
FRI-AB-LOOP-DIVB_et_Grp-1,46090,3.1591E-06,33
LODCB_et_Grp-1,160549,4.2712E-08,29
EQK-BIN5_et_Grp-6,151805,1.3362E-06,8
FRI-MCR_et_Grp-1,3464,9.0809E-06,6
FLI-CVC-ROOM_et_Grp-1,277526,3.9582E-10,29
FRI-AB-LOOP_et_Grp-1,29283,1.0983E-08,33
EQK-BIN5_et_Grp-4,207196,6.6277E-07,33
TOR-BIN1_et_Grp-2,68598,3.7369E-12,33
EQK-BIN1_et_Grp-6,322461,1.2585E-09,33
FLI-4160VACA_et_Grp-1,363408,2.5501E-09,29
LOCCW_et_Grp-1,778360,8.2454E-08,29
LSSB_et_Grp-1,7,1.0455E-09,1
FRI-AB-SLOCA_et_Grp-1,14257,5.4997E-07,8
EQK-BIN6_et_Grp-6,70399,1.2595E-08,33
FRI-AB-AFWAB_et_Grp-1,420246,1.2438E-08,29
FLI-CCW-ROOMB_et_Grp-1,636421,1.0659E-09,29
HCN-BIN3_et_Grp-1,223602,1.0324E-10,30
EQK-BIN3_et_Grp-2,193271,6.4066E-08,30
