Index,Name,Label,Value
1,BE0,TEMP-BE-TO-ADD-GATES-WITH-A-SINGLE-ELEMENT,0.000000E+00
2,BE00,TEMP-BE-TO-ADD-GATES-WITH-A-SINGLE-ELEMENT,1.000000E+00
3,BE1,IE-TRANS,6.760000E-01
4,BE10,EPS-XHE-XM-DGSEQ,1.000000E+00
5,BE100,HE-FLD-SWSA,0.000000E+00
6,BE100,HE-FLD-SWSA,1.000000E+00
7,BE101,HE-FLD-SWSB,0.000000E+00
8,BE101,HE-FLD-SWSB,1.000000E+00
9,BE102,HE-FLD-CCW,0.000000E+00
10,BE102,HE-FLD-CCW,1.000000E+00
11,BE103,HE-FLD-CCWA,0.000000E+00
12,BE103,HE-FLD-CCWA,1.000000E+00
13,BE104,HE-FLD-CCWB,0.000000E+00
14,BE104,HE-FLD-CCWB,1.000000E+00
15,BE105,HE-FLD-4160VACA,1.000000E+00
16,BE105,HE-FLD-4160VACA,0.000000E+00
17,BE106,HE-HWD,0.000000E+00
18,BE106,HE-HWD,1.000000E+00
19,BE107,IE-HWD-96MPH,1.000000E-01
20,BE109,ACC-TNK-RP-ACCD,2.016000E-07
21,BE11,IE-LOMFW,5.940000E-02
22,BE110,ACC-TNK-LK-ACCD,2.880000E-06
23,BE1103,ZA-MDP-FR-CCW-03A01,9.840000E-01
24,BE1104,ZA-MDP-FR-CCW-03A02,1.260000E-02
25,BE1105,ZA-MDP-FR-CCW-03A03,3.110000E-03
26,BE111,ACC-TNK-FC-ACCD,4.608000E-06
27,BE112,RCS-LOCA-CL1,2.500000E-01
28,BE113,RCS-LOCA-CL2,2.500000E-01
29,BE114,RCS-LOCA-CL3,2.500000E-01
30,BE115,RCS-LOCA-CL4,2.500000E-01
31,BE116,HE-FLD-4160VACB,0.000000E+00
32,BE116,HE-FLD-4160VACB,1.000000E+00
33,BE117,IE-FLI-4160VACA,3.000000E-04
34,BE118,IE-FLI-4160VACB,3.000000E-04
35,BE119,IE-FLI-AFW-RM,2.000000E-05
36,BE120,CCW-XHE-XM-TRNC,1.000000E-03
37,BE121,CCW-MOV-OC-001A,7.776000E-07
38,BE122,CCW-MOV-OC-002A,7.776000E-07
39,BE123,CCW-MOV-OC-001C_A,4.210000E-04
40,BE124,CCW-MOV-OC-002C_A,4.210000E-04
41,BE125,CCW-MOV-OC-001B,7.776000E-07
42,BE126,CCW-MOV-OC-002B,7.776000E-07
43,BE127,CCW-AOV-OC-HTXB,2.520000E-06
44,BE128,CCW-AOV-OC-HTXDISB,2.520000E-06
45,BE129,CCW-MOV-OC-001C_B,4.210000E-04
46,BE130,CCW-MOV-OC-002C_B,4.210000E-04
47,BE132,CVC-MOV-CF-DIS,2.198000E-06
48,BE133,HPI-CKV-CF-CVCINLT,1.214000E-07
49,BE134,HPI-CKV-CC-002,9.240000E-06
50,BE135,HPI-CKV-CC-003,9.240000E-06
51,BE136,HPI-CKV-CC-004,9.240000E-06
52,BE137,SIS-CKV-CC-001,9.240000E-06
53,BE138,HPI-CVC-TRNS,1.000000E+00
54,BE143,SIS-CKV-CC-003,9.240000E-06
55,BE144,SIS-CKV-CC-004,9.240000E-06
56,BE145,SIS-CKV-CC-002,9.240000E-06
57,BE146,HE-LOCA,0.000000E+00
58,BE146,HE-LOCA,1.000000E+00
59,BE147,SIS-CKV-CF-RCSCL,1.214000E-07
60,BE148,SIS-MOV-OC-002B,7.776000E-07
61,BE149,SIS-CKV-CC-004B,9.240000E-06
62,BE150,SIS-CKV-CF-DIS004,1.940000E-07
63,BE151,SIS-CKV-CC-004A,9.240000E-06
64,BE152,SIS-MOV-OC-002A,7.776000E-07
65,BE153,HPI-SIS-TRNS,1.000000E+00
66,BE154,HPR-CVC-FT,1.000000E+00
67,BE155,HPI-CKV-OO-005B,1.570000E-04
68,BE156,HPR-CVC-TRNS,1.000000E+00
69,BE157,HPI-CKV-OO-005A,1.570000E-04
70,BE158,LPR-MOV-CC-SICVCA,4.210000E-04
71,BE159,LPR-CKV-CC-SICVCA,9.240000E-06
72,BE160,LPR-MOV-CC-SICVCB,4.210000E-04
73,BE161,LPR-CKV-CC-SICVCB,9.240000E-06
74,BE162,LPR-MOV-CF-CVCSUC,2.198000E-06
75,BE163,HPR-SIS-FT,1.000000E+00
76,BE164,HPR-SIS-TRNS,1.000000E+00
77,BE167,ISL-XHE-XE-NONREC,1.000000E-01
78,BE168,ISL-PSF-RP-RHR,1.000000E+00
79,BE17,IE-SGTR,1.660000E-03
80,BE177,ISL-PSF-RP-LPI,1.000000E-01
81,BE18,AFW-TDP-FR-TDP,4.715000E-02
82,BE185,ISL-XHE-XE-RECRHR,1.000000E-01
83,BE186,ISL-XHE-XE-NRECRHR,1.000000E-01
84,BE187,LPI-CKV-CC-001,9.240000E-06
85,BE188,LPI-CKV-CF-RCSCL,1.214000E-07
86,BE189,LPI-CKV-CC-002,9.240000E-06
87,BE19,AFW-MDP-FR-B,3.865000E-04
88,BE190,LPI-CKV-CC-003,9.240000E-06
89,BE191,LPI-CKV-CC-004,9.240000E-06
90,BE192,LPI-CKV-CC-001A,9.240000E-06
91,BE193,LPI-MOV-CC-MINFL005B,4.210000E-04
